"speech_id","speaker_bio_name","speaker_bio_url","speaker_bio_source","speaker_bio_status","speaker_bio_sex","speaker_bio_birth","speaker_bio_death","speaker_bio_parties","speaker_bio_parliament_start","speaker_bio_parliament_end","speaker_bio_gov_positions","speaker_bio_gov_period"
"nl.proc.sgd.d.199019910000826.12.6.1","Gerrit-Jan Wolffensperger","https://en.wikipedia.org/wiki/Gerrit_Jan_Wolffensperger","legislatoR_precomputed","matched","male",1944-08-09,NA,"d66",NA,NA,"",""
"nl.proc.sgd.d.199019910000836.2.7.1","Bas van der Vlies","https://en.wikipedia.org/wiki/Bas_van_der_Vlies","legislatoR_precomputed","matched","male",1942-06-29,2021-11-07,"sgp",NA,NA,"",""
"nl.proc.sgd.d.199019910000842.6.5.4","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.199119920000965.2.11.6","Louw de Graaf","https://en.wikipedia.org/wiki/Louw_de_Graaf","legislatoR_precomputed","matched","male",1930-04-12,2020-07-15,"cda",NA,NA,"",""
"nl.proc.sgd.d.199119920000885.6.11.3","Hans Janmaat","https://en.wikipedia.org/wiki/Hans_Janmaat","legislatoR_precomputed","matched","male",1934-11-03,2002-06-09,"centrumpartij | centrumdemocraten | centrum democraten",NA,NA,"",""
"nl.proc.sgd.d.199119920000949.5.4.26","Leoni Sipkes","https://en.wikipedia.org/wiki/Leoni_Sipkes","legislatoR_precomputed","matched","female",1949-04-02,NA,"groenlinks",NA,NA,"",""
"nl.proc.sgd.d.199119920001009.2.2.1","Nel Mulder-van Dam","https://en.wikipedia.org/wiki/Nel_Mulder-van_Dam","legislatoR_precomputed","matched","female",1936-09-20,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.199219930000818.8.3.32","Rudolf de Korte","https://en.wikipedia.org/wiki/Rudolf_de_Korte","legislatoR_precomputed","matched","male",1936-07-08,2020-01-09,"vvd",NA,NA,"",""
"nl.proc.sgd.d.199219930000823.5.6.3","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.199219930000843.2.9.93","","","","ambiguous","",NA,NA,"",NA,NA,"",""
